ingredients,recipe_urls,recipe_name,desc,ingredients_parsed
"['Women', 'Crepe', 'Silk', 'Printed', 'Saree', 'With', 'Blouse', 'Piece', '(BANPLUS803,', 'Beige),saree', 'miraan']",246.jpeg,saree miraan,"Women Crepe Silk Printed Saree With Blouse Piece (BANPLUS803, Beige)",woman crepe silk printed saree blouse miraan
"[""Women's"", 'Chiffon', 'Plain', 'Weave', 'Saree', 'with', 'Blouse', 'Piece', '(Orange),saree', 'foliarry']",247.jpeg,saree foliarry,Women's Chiffon Plain Weave Saree with Blouse Piece (Orange),chiffon weave saree blouse foliarry
"[""Women's"", 'linen', 'slub', 'Sarees', 'with', 'blouse', 'piece', 'AHNSBG4', '(SKY', 'BLUE),saree', 'anaya', 'handloom']",248.jpeg,saree anaya handloom,Women's linen slub Sarees with blouse piece AHNSBG4 (SKY BLUE),linen slub saree blouse anaya handloom
"[""Women's"", 'Chex', 'Vichitra', 'Silk', 'Half', 'and', 'Half', 'Saree', 'With', 'Blouse', 'Piece,saree', 'market', 'magic', 'world']",249.jpeg,saree market magic world,Women's Chex Vichitra Silk Half and Half Saree With Blouse Piece,chex vichitra silk saree blouse market magic world
"[""Women's"", 'Poly', 'Cotton', 'Foiled', 'Kanjivaram', 'Saree', 'with', 'Blouse,saree', 'siril']",250.jpeg,saree siril,Women's Poly Cotton Foiled Kanjivaram Saree with Blouse,poly cotton foiled kanjivaram saree siril
"['A', 'Govt.', 'of', 'West', 'Bengal', 'Enterprises', ""Women's"", 'Woven', 'Shantipur', 'Handloom', 'Cotton', 'Saree', '(White),saree', 'tantuja', 'bengal', 'handloom']",251.jpeg,saree tantuja bengal handloom,A Govt. of West Bengal Enterprises Women's Woven Shantipur Handloom Cotton Saree (White),west bengal enterprise woven shantipur handloom cotton saree tantuja bengal handloom
"[""Women's"", 'Cotton', 'Silk', 'Jacquard', 'Saree', 'with', 'Blouse', 'Piece,Free', 'Size,saree', 'sapta', 'shakti']",252.jpeg,saree sapta shakti,"Women's Cotton Silk Jacquard Saree with Blouse Piece,Free Size",cotton silk jacquard saree blouse sapta shakti
"['Kanjivaram', 'Style', 'Art', 'Silk', 'Saree', 'Color', ':', 'Orange', '(4173-330-2D-PCH-MEJ),saree', 'mimosa']",253.jpeg,saree mimosa,Kanjivaram Style Art Silk Saree Color : Orange (4173-330-2D-PCH-MEJ),kanjivaram art silk saree color orange pch mimosa
"['red', 'Color', 'Sana', 'Silk', 'Saree', 'With', 'Red', 'Color', 'Brocad', 'Unstitched', 'Blouse', 'Piec,saree', 'women', 'choice']",254.jpeg,saree women choice,red Color Sana Silk Saree With Red Color Brocad Unstitched Blouse Piec,color sana silk saree color brocad unstitched blouse woman choice
"[""Woman's"", 'Bengal', 'Handloom', 'all', 'over', 'the', 'fish', 'work', 'beautifully', 'design', 'Traditional', 'Saree', 'With', 'Blouse(bh1831_orange),saree', 'pal', 'bastralaya']",255.jpeg,saree pal bastralaya,Woman's Bengal Handloom all over the fish work beautifully design Traditional Saree With Blouse(bh1831_orange),bengal handloom over fish work beautifully design traditional saree pal bastralaya
"[""Women's"", 'Organza', 'Saree', 'With', 'Unstiched', 'Blouse', 'Piece', '(SKU', 'id-', 'MK', '26_Purple),saree', 'mk']",256.jpeg,saree mk,Women's Organza Saree With Unstiched Blouse Piece (SKU id- MK 26_Purple),organza saree unstiched blouse id mk mk
"[""Women's"", 'Japan', 'Silk', 'Saree', 'with', 'Digital', 'Print', 'Blouse', '(Green),saree', 'bhimashankar']",257.jpeg,saree bhimashankar,Women's Japan Silk Saree with Digital Print Blouse (Green),japan silk saree digital print blouse bhimashankar
"[""Women's"", 'Plain', 'Weave', 'Cotton', 'Saree', 'With', 'Unstitched', 'Blouse', 'Piece', '(CT-MUL-PCN-90_Maroon),saree', 'new', 'age']",258.jpeg,saree new age,Women's Plain Weave Cotton Saree With Unstitched Blouse Piece (CT-MUL-PCN-90_Maroon),weave cotton saree unstitched blouse mul pcn age
"[""Women's"", 'Satin', 'Silk', 'Plain', 'Saree', 'With', 'Jacquard', 'Matka', 'Print', 'Blouse,saree', 'bandidhari', 'fashion']",259.jpeg,saree bandidhari fashion,Women's Satin Silk Plain Saree With Jacquard Matka Print Blouse,satin silk saree jacquard matka print bandidhari fashion
"[""women's"", 'linen', 'soft', 'cotton', 'silver', 'border', 'saree', 'with', 'jacquard', 'blouse', 'for', 'daily', 'use,saree', 'ditya', 'fashion']",260.jpeg,saree ditya fashion,women's linen soft cotton silver border saree with jacquard blouse for daily use,linen cotton silver border saree jacquard blouse daily ditya fashion
"['pure', 'cotton', 'ikat', 'sambalpuri', 'handwoven', 'white', 'with', 'pink', 'haico', 'saree', 'for', 'women,saree', 'odisha', 'handloom']",261.jpeg,saree odisha handloom,pure cotton ikat sambalpuri handwoven white with pink haico saree for women,pure cotton ikat sambalpuri handwoven pink haico saree odisha handloom
"[""Women's"", 'Jacquard', 'Banarasi', 'Silk', 'Dupatta,saree', 'kashvi', 'sarees']",262.jpeg,saree kashvi sarees,Women's Jacquard Banarasi Silk Dupatta,jacquard banarasi silk kashvi saree
"[""Women's"", 'Chiffon', 'Saree', 'with', 'Blouse', '(cutwrk', 'blue),saree', 'winza', 'designer']",263.jpeg,saree winza designer,Women's Chiffon Saree with Blouse (cutwrk blue),chiffon saree blouse winza designer
"['Women', 'Bhagalpuri', 'Rayon', 'Saree', 'With', 'Blouse', 'Piece', '(CSZ01_Blue),saree', 'india', 'silk', 'pwcs', 'ltd']",264.jpeg,saree india silk pwcs ltd,Women Bhagalpuri Rayon Saree With Blouse Piece (CSZ01_Blue),woman bhagalpuri rayon saree blouse india silk pwcs ltd
"['Cotton', 'Saree', 'with', 'Blouse', 'Piece,saree', 'anni', 'designer']",265.jpeg,saree anni designer,Cotton Saree with Blouse Piece,cotton saree blouse anni designer
"[""Khadija's"", 'Banarasi', 'Kora', 'Orgenza', 'Muslin', 'Semi', 'Silver', 'Zari', 'Tanchoi', 'Booti', 'Saree', 'for', ""Women's"", 'with', 'beautiful', 'brocade', 'blouses', 'Pies.,saree', 'generic']",266.jpeg,saree generic,Khadija's Banarasi Kora Orgenza Muslin Semi Silver Zari Tanchoi Booti Saree for Women's with beautiful brocade blouses Pies.,banarasi kora orgenza muslin semi silver zari tanchoi booti saree beautiful brocade blouse generic
"['Solid', 'Daily', 'Wear', 'Cotton', 'Silk,', 'Poly', 'Silk', 'Saree,saree', 'shivay', 'fashion']",267.jpeg,saree shivay fashion,"Solid Daily Wear Cotton Silk, Poly Silk Saree",solid daily wear cotton poly silk shivay fashion
"['Litchy', 'Silk', 'Saree', 'With', 'Blouse', 'Piece,saree', 'arriva', 'fab']",268.jpeg,saree arriva fab,Litchy Silk Saree With Blouse Piece,litchy silk saree blouse arriva fab
"['Ilkal', 'Khun', 'Pure', 'Cotton', 'Silk', 'Saree', 'with', 'Nath', 'Work,saree', 'ambica']",269.jpeg,saree ambica,Ilkal Khun Pure Cotton Silk Saree with Nath Work,ilkal khun pure cotton silk saree nath ambica
"[""Women's"", 'Crepe', 'with', 'Blouse', 'Piece', '7510', 'Sarees', '(FSP770_Brown', '&', 'Musatrd_OneSize),saree', 'womanista']",270.jpeg,saree womanista,Women's Crepe with Blouse Piece 7510 Sarees (FSP770_Brown & Musatrd_OneSize),crepe blouse saree womanista
"['Tant', 'Jamdani', 'Handloom', 'Pure', 'Cotton', 'Saees', 'for', 'Women', '(Black),saree', 't.j.', 'sarees']",271.jpeg,saree t.j. sarees,Tant Jamdani Handloom Pure Cotton Saees for Women (Black),tant jamdani handloom pure cotton saees woman saree
"[""Women's"", 'Kanchipuram', 'Art', 'Silk', 'Saree', 'With', 'Blouse,saree', 'sri', 'tulasi', 'silks']",272.jpeg,saree sri tulasi silks,Women's Kanchipuram Art Silk Saree With Blouse,kanchipuram art silk saree sri tulasi silk
"[""Women's"", 'Pure', 'Cotton', 'Venkatagiri', 'Temple', 'Border', 'Saree', '(MK4227,', 'Red),saree', ""pavecha's""]",273.jpeg,saree pavecha's,"Women's Pure Cotton Venkatagiri Temple Border Saree (MK4227, Red)",pure cotton venkatagiri temple border saree
"['Women', 'Faux', 'Georgette', 'Printed', 'Mutlicolor', 'Saree/Sari', '(Combo', 'of', '3_', 'Free', 'Size),saree', 'ishin']",274.jpeg,saree ishin,Women Faux Georgette Printed Mutlicolor Saree/Sari (Combo of 3_ Free Size),woman faux georgette printed mutlicolor ishin
"['Geeta', 'Handicrafts', ""Women's"", 'Ikat', 'Hand', 'Block', 'Print', 'Jaipuri', 'Cotton', 'Mulmul', 'Saree', 'with', 'Blouse', 'Piece', '-', 'Green,saree', 'generic']",275.jpeg,saree generic,Geeta Handicrafts Women's Ikat Hand Block Print Jaipuri Cotton Mulmul Saree with Blouse Piece - Green,geeta handicraft ikat hand block print jaipuri cotton mulmul saree blouse generic
"['Woven', 'Mooga', 'Art', 'Silk', 'Saree,saree', 'janvisales']",276.jpeg,saree janvisales,Woven Mooga Art Silk Saree,woven mooga art silk janvisales
"[""Women's"", 'Bollywood', 'Net', 'ButterFly', 'Saree', 'Heavy', 'Embrodery', 'Work', 'Saree', 'shapewear', 'With', 'Blouse', '(Firoji', 'And', 'Pink),saree', 'hutah']",277.jpeg,saree hutah,Women's Bollywood Net ButterFly Saree Heavy Embrodery Work Saree shapewear With Blouse (Firoji And Pink),bollywood net butterfly saree embrodery work saree shapewear blouse hutah
"['Art', 'Silk', 'Saree', 'with', 'Blouse', 'Piece,saree', 'satrani']",278.jpeg,saree satrani,Art Silk Saree with Blouse Piece,art silk saree blouse satrani
"['Multicolor', 'Malgudi', 'Art', 'Silk', 'Uniform', 'Saree', 'with', 'Blouse', '(2113_Free', 'Size),saree', 'vimla', '*']",279.jpeg,saree vimla *,Multicolor Malgudi Art Silk Uniform Saree with Blouse (2113_Free Size),multicolor malgudi art silk uniform saree blouse vimla
"[""Women's"", 'Cut', 'Work', 'Skirt', 'Silk', 'Saree', '(Blue),saree', 'tredilla', 'clothing']",280.jpeg,saree tredilla clothing,Women's Cut Work Skirt Silk Saree (Blue),work skirt silk saree tredilla clothing
"['Woven,', 'Embroidered', 'Kanjivaram', 'Art', 'Silk,', 'Cotton', 'Silk', 'Saree,saree', 'rola', 'trendz']",281.jpeg,saree rola trendz,"Woven, Embroidered Kanjivaram Art Silk, Cotton Silk Saree",embroidered kanjivaram art cotton silk rola trendz
"[""Women's"", 'Bandhej', 'Synthetic', 'Saree', 'With', 'Blouse', 'Piece,saree', 'rajasthani', 'bandej']",282.jpeg,saree rajasthani bandej,Women's Bandhej Synthetic Saree With Blouse Piece,bandhej synthetic saree blouse rajasthani bandej
"[""Women's"", 'Cotton', 'Blend', 'Saree', 'With', 'Unstitched', 'Blouse', 'Piece', '(ishita', 'parrot', 'green_Olive', 'Green),saree', 'nplash', 'fashion']",283.jpeg,saree nplash fashion,Women's Cotton Blend Saree With Unstitched Blouse Piece (ishita parrot green_Olive Green),cotton blend saree unstitched blouse parrot nplash fashion
"[""Women's"", 'Organza', 'Silk', 'with', 'Heavy', 'Kashmiri', 'Embroidery', 'Saree', 'with', 'Blouse', 'Piece', '(Turquoise),saree', 'sumshy']",284.jpeg,saree sumshy,Women's Organza Silk with Heavy Kashmiri Embroidery Saree with Blouse Piece (Turquoise),organza silk kashmiri embroidery saree blouse sumshy
"[""Women's"", 'Pink', 'Banarasi', 'Katan', 'Silk', 'Bordered', 'Saree', 'with', 'Blouse', 'piece', '(HVNS33),saree', 'humairah']",285.jpeg,saree humairah,Women's Pink Banarasi Katan Silk Bordered Saree with Blouse piece (HVNS33),pink banarasi katan silk bordered saree blouse humairah
"['Printed,', 'Self', 'Design,', 'Embellished,', 'Animal', 'Print', 'Fashion', 'Cotton', 'Blend,', 'Khadi', 'Silk', 'Saree,saree', 'divastri']",286.jpeg,saree divastri,"Printed, Self Design, Embellished, Animal Print Fashion Cotton Blend, Khadi Silk Saree",self animal print fashion cotton khadi silk divastri
"['Soft', 'Lycra', 'saree', 'Prettified', 'with', 'Foilage', 'Print', 'and', 'Stone_Patch', 'Border', 'Work,saree', 'digitofab']",287.jpeg,saree digitofab,Soft Lycra saree Prettified with Foilage Print and Stone_Patch Border Work,lycra saree prettified foilage print border digitofab
"['Silk', 'with', 'Blouse', 'Piece', 'Saree,saree', 'ethnicjunction']",288.jpeg,saree ethnicjunction,Silk with Blouse Piece Saree,silk blouse ethnicjunction
"[""Women's"", 'Cotton', 'Banarasi', 'Saree', 'with', 'Blouse', 'Piece', '(Silver', 'and', 'Peach),saree', 'asavari']",289.jpeg,saree asavari,Women's Cotton Banarasi Saree with Blouse Piece (Silver and Peach),cotton banarasi saree blouse asavari
"[""Women's"", 'Kasavu', 'Tissue', 'Cotton', 'Saree', 'With', 'Blouse', '(TJT01396_Off', 'White),saree', 'jisb']",290.jpeg,saree jisb,Women's Kasavu Tissue Cotton Saree With Blouse (TJT01396_Off White),kasavu tissue cotton saree blouse jisb
"[""Women's"", 'Cotton', 'Sare', 'with', 'Blouse', 'Piece,saree', 'perfectblue']",291.jpeg,saree perfectblue,Women's Cotton Sare with Blouse Piece,cotton sare blouse perfectblue
"[""Women's"", 'net', 'with', 'Blouse', 'Piece', '7510', 'Sarees', '(FS9928_', 'Pink_', 'Onesize),saree', 'womanista']",292.jpeg,saree womanista,Women's net with Blouse Piece 7510 Sarees (FS9928_ Pink_ Onesize),net blouse saree womanista
"['Art', 'Chiffon', 'silk', 'Wedding', 'saree', 'Kanjivarm', 'Pattu', 'style', 'With', 'Contrast', 'Color:', 'Gold', '(4263-2247-2D-GLD-RNI),saree', 'mimosa']",293.jpeg,saree mimosa,Art Chiffon silk Wedding saree Kanjivarm Pattu style With Contrast Color: Gold (4263-2247-2D-GLD-RNI),art chiffon silk wedding saree kanjivarm pattu contrast gold gld mimosa
"[""Women's"", 'Pure', 'Georgette', 'Embroidered', 'Bandhani', 'Saree', 'with', 'Blouse', 'Piece', '(White', 'and', 'Red),saree', 'vastranand']",294.jpeg,saree vastranand,Women's Pure Georgette Embroidered Bandhani Saree with Blouse Piece (White and Red),pure georgette embroidered bandhani saree blouse vastranand
"['Solid', 'Fashion', 'Lycra', 'Blend', 'Saree,saree', 'begum', 'collection']",295.jpeg,saree begum collection,Solid Fashion Lycra Blend Saree,solid fashion lycra blend begum collection
"[""Women's"", 'Handmade', 'Lucknowi', 'Chikankari', 'Faux', 'Georgette', 'Saree', 'with', 'Blouse', 'A191789', 'Peach,saree', 'ada']",296.jpeg,saree ada,Women's Handmade Lucknowi Chikankari Faux Georgette Saree with Blouse A191789 Peach,handmade lucknowi chikankari faux georgette saree blouse ada
"[""Women's"", 'Multicolor', 'Art', 'Silk', 'Saree', 'With', 'Blouse', 'Pack', 'of', '2', '(TS_CLUB_COMBO_45_Free', 'Size),saree', 'anni', 'designer']",297.jpeg,saree anni designer,Women's Multicolor Art Silk Saree With Blouse Pack of 2 (TS_CLUB_COMBO_45_Free Size),multicolor art silk saree blouse pack anni designer
"[""Women's"", 'Narayanpet', 'Handloom', 'Cotton', 'Saree', 'and', 'blouse', 'piece', '(UNM36818+Purple+Free', 'Size),saree', 'unnati', 'silks']",298.jpeg,saree unnati silks,Women's Narayanpet Handloom Cotton Saree and blouse piece (UNM36818+Purple+Free Size),narayanpet handloom cotton saree blouse unnati silk
"[""Women's"", 'Banarasi', 'Art', 'Silk', 'Pink', 'Red', 'Saree', 'with', 'Blouse', 'Piece,saree', 'sneh']",299.jpeg,saree sneh,Women's Banarasi Art Silk Pink Red Saree with Blouse Piece,banarasi art silk pink saree blouse sneh
"[""Women's"", 'Pure', 'Cotton', 'Printed', 'Saree', 'Without', 'Blouse', 'Piece,saree', 'rani', 'saahiba']",300.jpeg,saree rani saahiba,Women's Pure Cotton Printed Saree Without Blouse Piece,pure cotton printed saree without blouse rani saahiba
"['Shaily', 'Blue', 'Rajjo', 'Net', 'Printed', 'Saree', '[SDHNA18042SSSR02],saree', 'shaily', 'retails']",301.jpeg,saree shaily retails,Shaily Blue Rajjo Net Printed Saree [SDHNA18042SSSR02],shaily blue rajjo net printed saree shaily retail
"['Printed', 'Fashion', 'Cotton', 'Jute', 'Blend', 'Saree,saree', 'keyu', 'fashion']",302.jpeg,saree keyu fashion,Printed Fashion Cotton Jute Blend Saree,printed fashion cotton jute blend keyu fashion
"[""Women's"", 'Pure', 'Linen', 'Jute', 'Cotton', 'Handloom', 'Blend', 'Saree', 'With', 'Digital', 'Printed', 'Lace', 'Border', 'Work', 'Saree', 'With', 'Printed', 'Blouse', 'Piece,saree', 'rajeshwar', 'fashion', 'with', 'rf']",303.jpeg,saree rajeshwar fashion with rf,Women's Pure Linen Jute Cotton Handloom Blend Saree With Digital Printed Lace Border Work Saree With Printed Blouse Piece,pure linen jute cotton handloom blend saree digital printed lace border work saree printed blouse rajeshwar fashion rf
"['Saree', '(Sarees', 'under', '300', 'sarees', 'under', '500', 'rupees', 'latest', 'saree', 'sarees', 'sarees', 'centre', 'women', 'saree', 'under', '300', 'Chiffon', 'saree),saree', 'parmeen', 'fashion']",304.jpeg,saree parmeen fashion,Saree (Sarees under 300 sarees under 500 rupees latest saree sarees sarees centre women saree under 300 Chiffon saree),saree under saree under rupee latest saree saree saree centre woman saree under chiffon parmeen fashion
"[""Women's"", 'Woven', 'Cotton', 'Saree', 'with', 'Blouse', 'Piece', '(011H68067/DT', '04_Multicolored),saree', 'generic']",305.jpeg,saree generic,Women's Woven Cotton Saree with Blouse Piece (011H68067/DT 04_Multicolored),woven cotton saree blouse generic
"['women', 'Digital', 'Print', 'Original', 'Linen', 'With', 'Silver', 'Jari', 'Patta', 'Saree', 'with', 'digital', 'print', 'running', 'Blouse.,saree', 'ayaan', 'textile']",306.jpeg,saree ayaan textile,women Digital Print Original Linen With Silver Jari Patta Saree with digital print running Blouse.,woman digital print original linen silver jari patta saree digital print running ayaan textile
"[""Women's"", 'Front', 'Button', 'Blouse,saree', 'soch']",307.jpeg,saree soch,Women's Front Button Blouse,front button soch
"[""Women's"", 'Handloom', 'Cotton', 'Silk', 'Saree(NVSR1001MehandiGreen_Mehandi', 'Green),saree', ""women's"", 'cottage']",308.jpeg,saree women's cottage,Women's Handloom Cotton Silk Saree(NVSR1001MehandiGreen_Mehandi Green),handloom cotton silk
"['Regolith', 'Sarees', ""Women's"", 'Banarasi', 'Linen', 'Saree', 'With', 'Blouse', 'Piece,saree', 'regolith', 'designer', 'sarees']",309.jpeg,saree regolith designer sarees,Regolith Sarees Women's Banarasi Linen Saree With Blouse Piece,regolith saree banarasi linen saree blouse regolith designer saree
"[""Women's"", 'Pure', 'Cotton', 'Ikat', 'Saree', '(Dulari-17,', 'Multicolour,', '5.5', 'Meters),saree', 'dulari']",310.jpeg,saree dulari,"Women's Pure Cotton Ikat Saree (Dulari-17, Multicolour, 5.5 Meters)",pure cotton ikat saree dulari
"['DESIGNER', ""WOMEN'S"", 'MATKA', 'Japan', 'PAPER', 'Silk', 'Shiny', 'Saree', 'With', 'Jacquard', 'Blouse,saree', 'the', 'eight', 'shop']",311.jpeg,saree the eight shop,DESIGNER WOMEN'S MATKA Japan PAPER Silk Shiny Saree With Jacquard Blouse,designer matka japan paper silk shiny saree jacquard eight shop
"[""Women's"", 'Vichitra', 'Silk', 'Saree,saree', 'vicharan']",312.jpeg,saree vicharan,Women's Vichitra Silk Saree,vichitra silk vicharan
"[""Women's"", 'Raw', 'Silk', 'Saree', 'With', 'Blouse', 'Piece', '(rhytm1107a_Multicolored),saree', 'ajs']",313.jpeg,saree ajs,Women's Raw Silk Saree With Blouse Piece (rhytm1107a_Multicolored),silk saree blouse ajs
"[""Women's"", 'Cotton', 'Silk', 'Saree', '(ATL93_main_02', ';', 'Green),saree', 'sahajanand']",314.jpeg,saree sahajanand,Women's Cotton Silk Saree (ATL93_main_02 ; Green),cotton silk saree sahajanand
"[""Women's"", 'Georgette', 'Art', 'Silk', 'Satin', 'Patta', 'Saree', 'With', 'Unstitched', 'Blouse(RING', 'ROAROOP', 'RANG),saree', 'ambica']",315.jpeg,saree ambica,Women's Georgette Art Silk Satin Patta Saree With Unstitched Blouse(RING ROAROOP RANG),georgette art silk satin patta saree unstitched roaroop ambica
"['Women', 'Pure', 'Cotton', 'Traditional', 'Handloom', 'Bengal', 'Tant', 'Saree', 'Noyonchuri', 'Design', 'Without', 'Blouse', 'Piece', '(White', 'Purple', 'Green),saree', 'db', 'desh', 'bidesh']",316.jpeg,saree db desh bidesh,Women Pure Cotton Traditional Handloom Bengal Tant Saree Noyonchuri Design Without Blouse Piece (White Purple Green),woman pure cotton traditional handloom bengal tant saree noyonchuri design without blouse purple db desh bidesh
"[""Women's"", 'Woven', 'Cotton', 'Saree', 'with', 'Blouse', 'Piece', '(Blue),saree', 'morvi']",317.jpeg,saree morvi,Women's Woven Cotton Saree with Blouse Piece (Blue),woven cotton saree blouse morvi
"[""Women's"", 'cotton', 'Silk', 'Saree', 'With', 'Blouse', 'Piece', '(TempleVisvaVatiation),saree', 'perfectblue']",318.jpeg,saree perfectblue,Women's cotton Silk Saree With Blouse Piece (TempleVisvaVatiation),cotton silk saree blouse perfectblue
"[""Women's"", 'Bhagalpuri', 'Synthetic', 'Saree', 'with', 'Blouse', 'Piece', '(GO_GOLD_Gold),saree', 'purvi', 'fashion']",319.jpeg,saree purvi fashion,Women's Bhagalpuri Synthetic Saree with Blouse Piece (GO_GOLD_Gold),bhagalpuri synthetic saree blouse purvi fashion
"['Womens', 'Net', 'Butterfly', 'Bollywood', 'Saree,saree', 'shiv', 'fashion']",320.jpeg,saree shiv fashion,Womens Net Butterfly Bollywood Saree,woman net butterfly bollywood shiv fashion
"['Thecrownlady', ""Women's"", 'Poly', 'Satin', 'Digital', 'Flower', 'Printed', 'Saree', 'With', 'Blouse', '(Multi', 'Black),saree', 'generic']",321.jpeg,saree generic,Thecrownlady Women's Poly Satin Digital Flower Printed Saree With Blouse (Multi Black),thecrownlady poly satin digital flower printed saree blouse generic
"[""Women's"", 'Marble', 'Chiffon', 'Plain', 'Saree', 'with', 'Blouse', 'Piece,saree', 'prutha', 'fashions']",322.jpeg,saree prutha fashions,Women's Marble Chiffon Plain Saree with Blouse Piece,marble chiffon saree blouse prutha fashion
"[""Women's"", 'Georgette', 'with', 'Sequence', 'Work', 'Lace', 'Border', 'Saree', '(ULT__ER123164,', 'Shaded', 'Blue),saree', 'ultimate', 'ecommerce']",323.jpeg,saree ultimate ecommerce,"Women's Georgette with Sequence Work Lace Border Saree (ULT__ER123164, Shaded Blue)",georgette sequence work lace border saree shaded ultimate ecommerce
"['Embroidered', 'Fashion', 'Vichitra,', 'Net', 'Saree,saree', 'b', 'bella', 'creation']",324.jpeg,saree b bella creation,"Embroidered Fashion Vichitra, Net Saree",embroidered fashion net b bella creation
"[""women's"", 'chanderi', 'soft', 'cotton', 'chex', 'saree', 'with', 'jacquard', 'blouse,saree', 'ditya', 'fashion']",325.jpeg,saree ditya fashion,women's chanderi soft cotton chex saree with jacquard blouse,chanderi cotton chex saree jacquard ditya fashion
"['Art', 'Silk', 'with', 'blouse', 'piece', 'Saree', '(KEY-PINK-FLEX_', 'Assorted-Color', 'and', 'Print', 'May', 'Vary_', 'Free', 'Size),saree', 'gosriki']",326.jpeg,saree gosriki,Art Silk with blouse piece Saree (KEY-PINK-FLEX_ Assorted-Color and Print May Vary_ Free Size),art silk blouse saree pink assorted color print may gosriki
"[""WOMEN'S"", 'PRINTED', 'PURE', 'COTTON', 'MULMUL', '(MALMAL)', 'SAREE', 'WITH', 'BLOUSE', 'BY', 'PRIYANKA', 'SAREES,saree', 'harsukhi']",327.jpeg,saree harsukhi,WOMEN'S PRINTED PURE COTTON MULMUL (MALMAL) SAREE WITH BLOUSE BY PRIYANKA SAREES,printed pure cotton mulmul saree blouse by priyanka harsukhi
"['Women', 'Saree,saree', 'floral', 'trendz']",328.jpeg,saree floral trendz,Women Saree,woman floral trendz
"['Cotton', 'with', 'Blouse', 'Piece', 'Saree,saree', 'jevi', 'prints']",329.jpeg,saree jevi prints,Cotton with Blouse Piece Saree,cotton blouse jevi print
"['Women', 'saree,saree', 'evanta']",330.jpeg,saree evanta,Women saree,woman evanta
"['Cotton', 'Silk', '&', 'Mysore', 'Silk', 'Sarees', 'with', 'Blouse', 'Pieces', 'with', 'Pack', 'of', '2', 'Saree', '-', 'Combo', 'of', '2', '(Orange', '&', 'Gold-Pink),saree', 'art', 'decor', 'sarees']",331.jpeg,saree art decor sarees,Cotton Silk & Mysore Silk Sarees with Blouse Pieces with Pack of 2 Saree - Combo of 2 (Orange & Gold-Pink),cotton silk mysore silk saree blouse pack saree combo gold art decor saree
"[""Women's"", 'Paithani', 'Pure', 'Silk', 'Saree', '(Purple),saree', 'aarrah']",332.jpeg,saree aarrah,Women's Paithani Pure Silk Saree (Purple),paithani pure silk saree aarrah
"['Women', 'Saree,saree', 'yashika']",333.jpeg,saree yashika,Women Saree,woman yashika
"['Printed', 'Georgette', 'Saree', '(PC1141_Green_One', 'Size),saree', 'vaamsi']",334.jpeg,saree vaamsi,Printed Georgette Saree (PC1141_Green_One Size),printed georgette saree vaamsi
"[""SKiran's"", 'Assamese', 'Art', 'Cotton', 'Silk', 'Mekhela', 'Chador', 'Saree', '-', 'D50', 'Mekhla', 'Sador', '(White', '&', 'Magenta),saree', 's', ""kiran's""]",335.jpeg,saree s kiran's,SKiran's Assamese Art Cotton Silk Mekhela Chador Saree - D50 Mekhla Sador (White & Magenta),assamese art cotton silk mekhela chador saree mekhla sador s
"[""Women's"", 'Bengal', 'Soft', 'Fine', 'Cotton', 'Molmol', 'Prints', 'Traditional', 'White', 'Saree(mp458_white', '/pale', 'brown),saree', 'pal', 'bastralaya']",336.jpeg,saree pal bastralaya,Women's Bengal Soft Fine Cotton Molmol Prints Traditional White Saree(mp458_white /pale brown),bengal cotton molmol print traditional pal bastralaya
"[""Women's"", 'Kanchipuram', 'Tussar', 'Silk', 'Saree', 'With', 'Running', 'Un-stitched', 'Blouse', '(4564-2560-SD-BGRN_Green),saree', 'mimosa']",337.jpeg,saree mimosa,Women's Kanchipuram Tussar Silk Saree With Running Un-stitched Blouse (4564-2560-SD-BGRN_Green),kanchipuram tussar silk saree running un stitched blouse sd mimosa
"[""Women's"", 'Bhagalpuri', 'Foil', 'Work', 'Saree', '(Olive),saree', 'vipul']",338.jpeg,saree vipul,Women's Bhagalpuri Foil Work Saree (Olive),bhagalpuri foil work saree vipul
"[""Women's"", 'Maroon', '1', 'Piece', 'Cotton', 'Silk', 'Handloom', 'Pom', 'Pom', 'Saree,saree', 'umasaree']",339.jpeg,saree umasaree,Women's Maroon 1 Piece Cotton Silk Handloom Pom Pom Saree,maroon cotton silk handloom pom pom umasaree
"[""Women's"", 'Heavy', 'Organza', 'Woven', 'Saree', '(6.3', 'meter', 'long)(Yellow', 'Color),saree', 'supujit']",340.jpeg,saree supujit,Women's Heavy Organza Woven Saree (6.3 meter long)(Yellow Color),organza woven saree supujit
"[""Women's"", 'Mysore', 'Silk', 'Crepe', 'Saree', 'With', 'Unstitched', 'Blouse', 'Piece', '(1594_CR_Red),saree', 'vimla', '*']",341.jpeg,saree vimla *,Women's Mysore Silk Crepe Saree With Unstitched Blouse Piece (1594_CR_Red),mysore silk crepe saree unstitched blouse vimla
"[""Women's"", 'Plain', 'weave', 'Cotton', 'Saree,saree', 'bharatanatyam']",342.jpeg,saree bharatanatyam,Women's Plain weave Cotton Saree,weave cotton bharatanatyam
"['MUKTIDATA', 'Women', 'Plain', 'Weave', 'Georgette', 'Saree', 'With', 'Blouse', 'Piece', '(1_Red),saree', 'muktidata']",343.jpeg,saree muktidata,MUKTIDATA Women Plain Weave Georgette Saree With Blouse Piece (1_Red),muktidata woman weave georgette saree blouse muktidata
